Seller Name,# Depop Followers,# Items Sold,# Reviews,Star Rating,Social Media Link,Depop Store Link
@clothingvaultuk,438 ,173,84 ,5,https://www.instagram.com/clothingvaultuk,https://www.depop.com/clothingvaultuk/
@copfootwear,730 ,171,63 ,5,https://copfootwear.com,https://www.depop.com/copfootwear/
@pluxs,"7,296 ",170 ,55 ,4.95,https://instagram.com/pluxsources,https://www.depop.com/pluxs/
@rsssssssss,395 ,169,151 ,5,,https://www.depop.com/rsssssssss/
@jackgk,"1,290 ",168 ,48 ,4.95,,https://www.depop.com/jackgk/
@murph96,203 ,166,108 ,4.85,,https://www.depop.com/murph96/
@jek92,"2,225 ",165 ,92 ,4.95,,https://www.depop.com/jek92/
@asylumsneakers1,679 ,163,46 ,5,https://www.instagram.com/asylum.sneakers/,https://www.depop.com/asylumsneakers1/
@jn_collection,"6,011 ",162 ,218 ,5,https://instagram.com/joenicholson9,https://www.depop.com/jn_collection/
@jimearchive,"1,511 ",161 ,62 ,4.8,https://instagram.com/jamesedgings,https://www.depop.com/jimearchive/
@olivia0510,262 ,161,53 ,5,https://creativecustomkickss.com/collections/all,https://www.depop.com/olivia0510/
@tristanswardrobe,288 ,160,38 ,4.75,,https://www.depop.com/tristanswardrobe/
@t0bytay1or,"1,300 ",159 ,121 ,5,https://instagram.com/2biastay?igshid=NzZlODBkYWE4Ng%3D%3D&utm_source=qr,https://www.depop.com/t0bytay1or/
@lukemcluckie84,305 ,157,117 ,5,,https://www.depop.com/lukemcluckie84/
@oluwa10,299 ,157,132 ,4.95,https://depop.com/oluwa10,https://www.depop.com/oluwa10/
@10ers,702 ,156,63 ,5,https://instagram.com/pinkpigeonforever,https://www.depop.com/10ers/
@peppibrown,"2,692 ",155 ,130 ,5,,https://www.depop.com/peppibrown/
@95plug,919 ,154 ,79 ,5,,https://www.depop.com/95plug/
@hutherland,838 ,153,79 ,4.95,,https://www.depop.com/hutherland/
@calweath,352 ,150,118 ,4.95,,https://www.depop.com/calweath/
@dripresold,956 ,149 ,41 ,5,https://instagram.com/drip.resold,https://www.depop.com/dripresold/
@joseofnazereth,"1,752 ",148 ,181 ,4,,https://www.depop.com/joseofnazereth/
@savensafesneakers,365 ,148,95 ,4.95,https://instagram.com/msn3kers_?utm_medium=copy_link,https://www.depop.com/savensafesneakers/
@asebastian,160 ,148,100 ,5,,https://www.depop.com/asebastian/
@ezekielsasleep,623 ,146,73 ,5,https://instagram.com/ezicollect,https://www.depop.com/ezekielsasleep/
@m15collect,336 ,146,73 ,5,,https://www.depop.com/m15collect/
@christianhopper,"1,347 ",145 ,46 ,4.8,https://www.instagram.com/christianh0pper/,https://www.depop.com/christianhopper/
@chiiox,236 ,144,89 ,4.95,https://instagram.com/chii.ox,https://www.depop.com/chiiox/
@trainer_trafficker,435 ,143,72 ,5,,https://www.depop.com/trainer_trafficker/
@verygoodstore,538 ,140,97 ,5,https://youtu.be/mlE5jloXnhE,https://www.depop.com/verygoodstore/
@curtainschris,164 ,140,83 ,5,,https://www.depop.com/curtainschris/
@katiebooth,345 ,139,90 ,5,,https://www.depop.com/katiebooth/
